1012.3,1011.8,1012.9,1012.3,3.8,-2.5,-2.4,2.2,-0.9,-0.5,71,59,72,67,6.7,4.4,6.7,5.9,5,3,7,5,24,23
1012.2,1012,1012.9,1012.4,4.4,-2.6,-2.1,3.6,-1.8,-0.5,60,45,65,57,4.4,4.4,6.7,5.1,6,4,0,3.3,23,24
1015.5,1016.9,1018.1,1016.8,2.2,-4.4,-4.4,1.5,-3.8,-2.6,70,47,68,62,6.7,4.4,4.4,5.1,3,0,0,1,24,32
1018.8,1018.1,1020,1019,4,-5.1,-5.1,3,-2,-1.5,78,54,79,70,4.4,2.4,2.4,3,0,0,0,0,32,47
1020.8,1021.5,1021.7,1021.3,0.4,-5.7,-5.7,-0.4,-2.5,-2.8,81,73,90,81,0,2.4,0.8,1.1,0,6,3,3,47,59
1021.4,1020.1,1019.9,1020.5,8.9,-4.5,-4.2,7.3,2.2,1.9,90,48,68,69,0.8,2.4,0.8,1.4,0,0,0,0,59,64
1019.5,1016.9,1014.2,1016.9,9.5,-3.6,-3.4,8.3,3.4,2.9,95,42,75,71,0.8,2.4,0.8,1.4,0,0,0,0,64,65
1010.2,1007,1006.9,1008,5.6,-3.6,-3.6,2.6,1.2,0.4,97,62,83,81,0.8,0.8,0,0.6,10,5,0,5,65,60
1007.5,1007.5,1009.3,1008.1,3.2,-1.4,-0.6,2.8,1.6,1.4,94,86,92,91,0.8,2.4,2.4,1.9,10,10,10,10,60,41
1009.7,1009.2,1008.6,1009.2,1.6,-0.4,-0.2,0.9,0.6,0.5,93,90,89,91,2.4,0.8,0.8,1.4,10,10,10,10,41,39
1008.8,1008,1006.6,1007.8,4.4,-0.6,-0.6,3,4,2.6,93,78,86,86,0.8,0.8,0.8,0.8,10,5,10,8.3,39,39
1002,998.5,999.3,999.9,12.4,2,2,11.9,9.4,8.2,77,37,60,58,2.4,2.4,0.8,1.9,0,9,9,6,39,37
1001.9,999.1,997.1,999.4,18,6.8,6.8,17,11,11.5,68,35,60,54,2.4,2.4,0.8,1.9,2,3,0,1.7,37,41
997.7,996.1,994,995.9,19.6,6.4,6.4,18.8,13.2,12.9,71,33,48,51,0.8,4.4,2.4,2.5,4,3,0,2.3,41,30
993.4,992.7,996.5,994.2,18.3,5.6,9.8,17.4,5.6,9.6,55,39,92,62,2.4,2.4,4.4,3,6,10,10,8.7,30,15
1005.6,1008,1010.2,1007.9,9.4,2.9,2.9,9.1,4.3,5.2,92,54,64,70,4.4,4.4,0.8,3.2,10,5,0,5,15,42
1007.5,1003.6,1003.2,1004.8,14.4,1.5,1.9,13.3,10.2,8.9,69,50,68,62,2.4,0.8,0.8,1.4,0,3,6,3,42,60
1002.6,999.2,997.6,999.8,19.3,6.3,7.7,18.8,14,13.6,84,45,57,62,0.8,2.4,2.4,1.9,8,5,3,5.3,60,29
995.8,991.8,991.2,992.9,23,12.1,12.1,22.3,16.2,16.7,57,30,41,43,0.8,4.4,6.7,4,1,1,4,2,29,16
987.2,990.7,998,992,16.3,5.7,12.9,6.6,6.2,8,55,87,86,76,4.4,2.4,4.4,3.7,10,10,8,9.3,16,22
1000.1,998.7,1001.2,1000,16.7,3,4.6,15.8,11,10.6,73,24,56,51,2.4,0.8,0.8,1.4,0,8,7,5,22,23
1006.3,1005.4,1003.8,1005.2,16.3,7.1,7.3,14.8,10.5,10.8,80,29,43,51,2.4,2.4,2.4,2.4,9,1,0,3.3,23,16
999,996.5,995.9,997.1,22.5,8.7,8.7,21.9,17.4,16.4,57,25,31,38,4.4,4.4,4.4,4.4,1,1,3,1.7,16,15
997.4,994,993.6,995,17.4,10.3,13.7,16.8,10.3,12.8,46,41,81,56,4.4,4.4,2.4,3.7,7,10,10,9,15,14
993.1,991.1,990.7,991.6,14.8,7.2,8.9,13.6,7.2,9.2,73,49,88,70,2.4,2.4,2.4,2.4,9,7,0,5.3,14,13
987.5,987.8,991.5,988.9,12.9,6.5,7.8,12.6,10.4,10.3,82,63,77,74,2.4,2.4,2.4,2.4,10,9,9,9.3,13,28
998,1001.6,1003.9,1001.2,10.4,6.3,7,8.5,7.6,7.7,95,92,93,93,2.4,4.4,2.4,3,10,10,9,9.7,28,43
1004.2,1002.6,1001.8,1002.9,13.5,5,5.5,12.6,9.4,9.2,94,68,88,83,0,2.4,0.8,1.1,8,6,3,5.7,43,32
997.8,996.2,997.8,997.3,9.7,4,4.2,8.8,6.1,6.3,96,80,90,89,0.8,2.4,2.4,1.9,5,10,6,7,32,25
1001.5,1001.5,1001.6,1001.5,7.9,3,4,7.2,7.4,6.5,70,62,67,66,2.4,4.4,2.4,3,9,10,7,8.7,25,24
999.4,999.6,1000.9,1000,7.4,3.9,3.9,7,4.5,5,76,68,91,78,2.4,2.4,2.4,2.4,7,10,10,9,24,23
1003.1,1005.9,1008.2,1005.7,10.4,3.9,4,9.3,8.2,7.4,88,65,71,75,0.8,2.4,2.4,1.9,10,9,10,9.7,23,36
1010.3,1010,1010.8,1010.4,12.3,4.5,4.6,10.9,8.9,8.3,85,53,58,65,2.4,2.4,0.8,1.9,7,8,7,7.3,36,44
1011.6,1010.4,1007.9,1010,14.4,3.4,3.8,13.2,10.9,9.7,82,37,55,58,0.8,4.4,0.8,2,0,5,9,4.7,44,32
