Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
10,"1,9","2,6","2,7","2,4",ESE,"0,8",NNE,"2,4",NE,"4,4","2,5",-,0,10,10,"6,7","2,8",15,10
11,"2,6","2,9","2,4","2,6",W,"2,4",WSW,"4,4",SSE,"2,4","3,0",-,10,10,0,"6,7","5,0",20,7
12,"2,6","3,3","4,8","3,6",C,"0,0",W,"2,4",NNW,"0,8","1,1",-,9,9,0,"6,0","1,8",18,1
13,"5,0","5,8","5,4","5,4",SE,"4,4",SSE,"6,7",SSE,"9,4","6,8",-,7,10,10,"9,0",.,17,.
14,"5,9","5,8","4,9","5,5",WNW,"4,4",W,"2,4",W,"0,8","2,5",-,10,10,4,"8,0","4,2",9,3
15,"4,5","4,7","4,7","4,6",WSW,"0,8",NW,"0,8",NE,"0,8","0,8",-,0,4,0,"1,3","0,0",6,0
16,"4,4","4,0","5,5","4,6",NE,"0,8",E,"2,4",E,"4,4","2,5",-,4,8,7,"6,3",.,2,.
17,"4,9","5,2","5,4","5,2",ESE,"2,4",ESE,"4,4",ENE,"2,4","3,0",-,7,10,10,"9,0","0,2",2,1
18,"4,5","5,4","3,4","4,4",ESE,"2,4",E,"4,4",ESE,"6,7","4,5",-,10,10,10,"10,0","1,1",4,2
19,"3,4","2,9","3,5","3,3",ESE,"6,7",SE,"4,4",ESE,"6,7","5,9",-,10,10,8,"9,3","1,9",10,6
20,"3,3","3,1","3,6","3,3",ESE,"0,8",NE,"2,4",NNW,"0,8","1,4",-,0,0,0,"0,0","0,0",10,0
21,"2,5","3,5","3,7","3,2",C,"0,0",NW,"2,4",NNW,"2,4","1,6",-,0,0,6,"2,0",.,10,.
22,"3,5","4,0","3,8","3,8",NNW,"2,4",SSE,"2,4",SE,"2,4","2,4",-,8,8,0,"5,3",.,10,.
23,"2,9","3,7","3,3","3,3",SSW,"0,8",W,"0,8",NW,"0,8","0,8",-,10,4,10,"8,0","0,1",10,0
24,"3,3","3,7","3,7","3,6",NW,"0,8",WNW,"2,4",WNW,"2,4","1,9",-,10,10,10,"10,0","0,0",10,0
25,"4,0","4,4","4,5","4,3",WNW,"2,4",NNW,"0,8",NW,"0,8","1,4",-,10,10,10,"10,0","0,0",10,0
26,"4,3","4,3","4,2","4,3",WNW,"2,4",WNW,"0,8",WNW,"0,8","1,4",-,10,10,10,"10,0","0,3",11,1
27,"3,6","3,9","3,9","3,8",SSW,"2,4",SSE,"2,4",ESE,"2,4","2,4",-,0,0,8,"2,7",.,10,.
28,"3,5","3,8","3,7","3,7",E,"0,8",SE,"0,8",ENE,"2,4","1,4",-,10,8,5,"7,7",.,10,.
