Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
12,"8,2","8,2","7,2","7,9",S,"0,8",NE,"2,4",E,"4,4","2,5",-,7,10,7,"8,0",.,.,.,
13,"5,6","5,4","5,0","5,3",ESE,"6,7",SE,"4,4",ESE,"4,4","5,1",-,7,7,9,"7,7","0,1",.,.,
14,"4,0","4,2","4,8","4,3",ESE,"4,4",E,"4,4",SE,"4,4","4,4",-,9,7,10,"8,7",.,.,.,
15,"4,1","4,1","4,2","4,1",ESE,"4,4",SE,"2,4",SE,"4,4","3,7",-,10,10,9,"9,7","0,4",1,1,
16,"4,1","6,3","7,4","5,9",SE,"4,4",SE,"4,4",S,"2,4","3,7",-,9,9,6,"8,0","0,1",1,1,
17,"8,4","7,9","6,5","7,6",S,"4,4",NW,"2,4",NW,"2,4","3,0",-,9,10,10,"9,7","0,1",.,.,
18,"5,3","5,5","4,7","5,2",WNW,"2,4",W,"4,4",SSE,"2,4","3,0",-,8,4,0,"4,0","14,8",.,.,
19,"5,0","6,9","7,9","6,6",SSE,"2,4",S,"0,8",WNW,"0,8","1,4",-,7,6,10,"7,7",.,.,.,
20,"6,6","6,6","6,1","6,4",SSW,"0,8",W,"0,8",SE,"0,8","0,8",-,10,8,0,"6,0","3,5",.,.,
21,"5,5","7,1","5,9","6,2",SE,"2,4",SSE,"2,4",NW,"2,4","2,4",-,6,10,10,"8,7",.,.,.,
22,"5,3","5,4","5,4","5,4",WNW,"4,4",W,"4,4",SE,"0,8","3,2",-,10,9,0,"6,3","8,1",.,0,
23,"5,3","5,9","5,8","5,7",SSE,"0,8",NNW,"2,4",NNE,"0,8","1,4",-,7,9,9,"8,3",.,.,.,
24,"5,6","5,2","4,6","5,1",SE,"2,4",SE,"2,4",SE,"6,7","3,8",-,9,0,0,"3,0",.,.,.,
25,"4,4","5,6","5,0","5,0",SE,"4,4",ESE,"2,4",SE,"4,4","3,7",-,0,0,0,"0,0",.,.,.,
26,"4,3","6,4","5,1","5,3",SE,"4,4",SSE,"2,4",SE,"4,4","3,7",-,0,0,0,"0,0",.,.,.,
27,"4,8","6,7","6,6","6,0",ESE,"4,4",WNW,"0,8",SSE,"0,8","2,0",-,0,7,0,"2,3",.,.,.,
28,"5,7","6,9","6,6","6,4",SW,"0,8",WSW,"2,4",SSW,"0,8","1,4",-,10,10,10,"10,0",.,.,.,
29,"5,7","7,9","7,4","7,0",W,"0,8",W,"2,4",SSE,"2,4","1,9",-,5,0,0,"1,7","0,0",.,.,
30,"6,7","8,8","8,2","7,9",N,"0,8",N,"2,4",W,"0,8","1,4",-,4,4,0,"2,7",.,.,.,
31,"6,5","7,5","7,6","7,2",SE,"4,4",SSE,"2,4",W,"0,8","2,5",-,0,7,0,"2,3",.,.,.,
dek1,"7,7","8,8","8,3","8,3","1,9","3,3","3,2","2,7",-,"5,8","6,9","5,3","6,0","12,2",,,,,,
dek2,"5,8","6,3","6,2","6,1","3,5","2,7","2,7","2,9",-,"8,6","7,3","7,0","7,7","19,0",,,,,,
dek3,"5,4","6,7","6,2","6,1","2,7","2,4","2,3","2,4",-,"4,6","5,1","2,6","4,1","8,1",,,,,,
mes,"6,3","7,2","6,9","6,8","2,7","2,8","2,7","2,7",-,"6,3","6,4","4,9","5,9","39,3",,,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,ФЕБРУАР,2018,,,,,,,,,,,,
1,"998,1","994,3","993,4","995,3","16,6","5,1","11,5","-1,0","6,8","15,7","10,7","11,0",62,37,51,50,,,,
2,"992,1","989,9","989,2","990,4","17,6","9,5","8,1","3,0","10,4","16,2","13,5","13,4",62,50,56,56,,,,
3,"987,9","984,9","989,8","987,5","13,6","1,9","11,7","3,9","3,8","3,6","2,0","2,9",94,94,90,93,,,,
4,"995,0","998,7","1004,2","999,3","5,2","1,0","4,2","0,6","1,3","4,8","2,5","2,8",93,77,89,86,,,,
5,"1008,7","1008,0","1007,0","1007,9","7,1","-0,8","7,9","-4,2","-0,8","6,1","3,0","2,8",96,65,87,83,,,,
6,"1004,1","1003,4","1001,2","1002,9","7,9","0,0","7,9","-4,0","0,4","7,1","5,3","4,5",91,60,67,73,,,,
7,"996,3","993,6","993,1","994,3","12,5","4,6","7,9","3,5","4,7","12,2","5,3","6,9",66,51,73,63,,,,
8,"994,4","997,2","1000,5","997,4","6,3","2,3","4,0","3,2","3,4","2,9","2,4","2,8",94,91,92,92,,,,
9,"1002,1","1001,6","1001,1","1001,6","5,1","2,0","3,1","2,2","2,2","4,3","2,6","2,9",87,72,87,82,,,,
10,"999,1","997,8","996,6","997,8","4,6","0,0","4,6","-2,5","0,4","3,0","3,1","2,4",95,86,83,88,,,,
11,"995,1","995,0","996,0","995,4","3,8","1,4","2,4","1,3","1,5","3,4","3,0","2,7",90,77,80,82,,,,
12,"996,1","995,7","997,1","996,3","7,7","0,4","7,3","-3,8","0,7","6,4","4,7","4,1",91,63,67,74,,,,
13,"995,6","994,2","994,1","994,6","4,7","0,4","4,3","2,4","3,0","2,7","0,4","1,6",78,95,96,90,,,,
14,"994,8","997,4","1000,4","997,5","3,1","0,4","2,7","0,4","0,6","2,8","1,6","1,7",96,86,93,92,,,,
15,"1004,3","1007,3","1010,1","1007,2","3,4","1,3","2,1","1,3","1,4","2,8","3,0","2,6",92,81,81,85,,,,
16,"1010,3","1009,4","1011,2","1010,3","8,8","1,0","7,8","-2,0","1,4","8,6","5,0","5,0",93,56,80,76,,,,
17,"1012,1","1007,0","1002,3","1007,1","8,3","2,4","5,9","0,5","2,5","7,8","5,8","5,5",90,61,74,75,,,,
18,"1003,4","1006,2","1008,1","1005,9","6,6","2,1","4,5","3,3","3,7","3,0","2,6","3,0",92,94,94,93,,,,
19,"1006,1","1004,2","1001,7","1004,0","3,4","-0,8","4,2","-1,2","-0,8","2,4","1,7","1,3",83,87,90,87,,,,
20,"996,0","994,7","995,0","995,2","5,0","0,0","5,0","0,6","1,1","4,6","1,0","1,9",80,63,86,76,,,,
21,"995,4","996,4","997,2","996,3","4,5","0,3","4,2","0,4","1,4","4,2","2,8","2,8",83,71,78,77,,,,
22,"995,4","995,7","998,5","996,5","4,9","0,8","4,1","0,4","2,0","3,7","3,0","2,9",89,76,72,79,,,,
23,"998,2","998,1","999,2","998,5","5,7","1,0","4,7","0,6","1,1","5,6","2,0","2,7",88,64,76,76,,,,
24,"999,3","1000,5","1002,4","1000,7","2,1","-1,0","3,1","0,8","0,5","-0,6","-1,0","-0,5",95,69,79,81,,,,
25,"1004,6","1003,7","1002,8","1003,7","-1,0","-6,2","5,2","-5,2","-5,6","-3,4","-3,4","-4,0",68,59,61,63,,,,
26,"998,8","996,0","994,4","996,4","-3,4","-7,4","4,0","-5,2","-5,0","-6,8","-7,4","-6,7",76,89,91,85,,,,
27,"992,7","993,4","995,7","993,9","-3,2","-8,1","4,9","-7,1","-8,0","-3,9","-6,8","-6,4",90,56,84,77,,,,
28,"998,8","1003,9","1008,6","1003,8","-3,8","-8,0","4,2","-8,9","-7,8","-5,7","-7,0","-6,9",83,74,74,77,,,,
dek1,"997,8","996,9","997,6","997,4","9,7","2,6","7,1","0,5","3,3","7,6","5,0","5,2",84,68,78,77,,,,
dek2,"1001,4","1001,1","1001,6","1001,4","5,5","0,9","4,6","0,3","1,5","4,5","2,9","2,9",89,76,84,83,,,,
dek3,"997,9","998,5","999,9","998,7","0,7","-3,6","4,3","-3,0","-2,7","-0,9","-2,2","-2,0",84,70,77,77,,,,
mes,"999,1","998,9","999,7","999,2","5,6","0,2","5,4","-0,6","0,9","4,1","2,2","2,3",86,72,80,79,,,,
1,"6,2","6,6","6,5","6,4",SE,"2,4",SSW,"2,4",S,"2,4","2,4",-,5,2,0,"2,3",.,.,.,
2,"7,8","9,2","8,7","8,6",SE,"4,4",SE,"4,4",SSE,"4,4","4,4",-,9,7,5,"7,0",.,.,.,
3,"7,5","7,4","6,4","7,1",NW,"2,4",WSW,"4,4",W,"2,4","3,0",-,10,10,10,"10,0","2,7",.,.,
4,"6,3","6,6","6,5","6,5",W,"2,4",W,"2,4",NNE,"2,4","2,4",-,10,9,5,"8,0","12,7",.,.,
5,"5,5","6,1","6,6","6,1",SSE,"2,4",W,"2,4",SE,"0,8","1,9",-,10,2,3,"5,0","0,0",.,0,
6,"5,7","6,1","5,9","5,9",SSE,"0,8",SE,"2,4",SSE,"2,4","1,9",-,3,3,9,"5,0",.,.,.,
7,"5,6","7,3","6,5","6,5",ESE,"6,7",SE,"6,7",SE,"6,7","6,7",-,9,6,10,"8,3",.,.,.,
8,"7,3","6,8","6,7","6,9",W,"4,4",W,"4,4",W,"4,4","4,4",-,10,10,10,"10,0","0,4",.,.,
9,"6,2","6,0","6,4","6,2",W,"2,4",W,"2,4",E,"0,8","1,9",-,10,9,0,"6,3","3,0",.,.,
10,"6,0","6,5","6,3","6,3",NE,"2,4",NNE,"2,4",N,"0,8","1,9",-,0,10,9,"6,3",.,.,.,
11,"6,1","6,0","6,1","6,1",NNE,"2,4",NNW,"0,8",W,"2,4","1,9",-,10,10,10,"10,0","0,5",.,0,
12,"5,9","6,1","5,7","5,9",ESE,"2,4",E,"2,4",NE,"2,4","2,4",-,5,7,9,"7,0","0,3",.,0,
13,"5,9","7,1","6,1","6,4",E,"0,8",W,"2,4",WSW,"0,8","1,4",-,10,10,10,"10,0","0,0",.,.,
14,"6,2","6,4","6,4","6,3",W,"2,4",W,"4,4",W,"4,4","3,7",-,10,10,10,"10,0","11,0",2,2,
15,"6,2","6,1","6,2","6,2",WNW,"2,4",NW,"0,8",WNW,"0,8","1,4",-,10,10,10,"10,0","1,4",.,0,
16,"6,3","6,3","7,0","6,5",ESE,"0,8",S,"2,4",ENE,"0,8","1,4",-,7,5,9,"7,0",.,.,.,
17,"6,6","6,5","6,8","6,6",SSW,"0,8",ESE,"2,4",NNW,"2,4","1,9",-,10,4,5,"6,3","1,6",.,.,
18,"7,4","7,1","6,9","7,1",WSW,"2,4",NNW,"2,4",NW,"0,8","1,9",-,10,10,10,"10,0","0,1",.,.,
19,"4,8","6,3","6,2","5,8",NNW,"0,8",NE,"2,4",E,"4,4","2,5",-,9,10,10,"9,7","2,6",.,.,
20,"5,3","5,3","5,7","5,4",ESE,"2,4",ESE,"4,4",SE,"4,4","3,7",-,7,7,10,"8,0","1,5",.,0,
21,"5,6","5,8","5,8","5,7",E,"2,4",ESE,"4,4",E,"2,4","3,0",-,10,10,10,"10,0","6,5",3,3,
22,"6,3","6,1","5,5","6,0",E,"2,4",E,"4,4",ESE,"4,4","3,7",-,9,9,9,"9,0","5,4",1,1,
23,"5,8","5,9","5,3","5,7",ESE,"4,4",E,"4,4",SE,"4,4","4,4",-,8,5,10,"7,7","1,0",.,0,
24,"6,0","4,1","4,5","4,9",NNE,"2,4",N,"2,4",NW,"0,8","1,9",-,10,10,6,"8,7","0,0",.,0,
25,"2,7","2,8","2,9","2,8",NNE,"4,4",N,"2,4",NNE,"2,4","3,0",-,7,9,10,"8,7","0,3",.,0,
26,"3,2","3,3","3,2","3,2",E,"4,4",E,"4,4",E,"6,7","5,1",-,10,10,10,"10,0","0,1",1,1,
27,"3,0","2,6","3,1","2,9",ESE,"4,4",SSE,"2,4",SE,"2,4","3,0",-,10,9,10,"9,7","5,9",15,14,
28,"2,8","3,0","2,7","2,8",SE,"0,8",WNW,"4,4",W,"2,4","2,5",-,10,10,10,"10,0","1,1",14,2,
dek1,"6,4","6,9","6,7","6,7","3,1","3,4","2,7","3,1",-,"7,6","6,8","6,1","6,8","18,8",,,,,,
dek2,"6,1","6,3","6,3","6,2","1,8","2,5","2,4","2,2",-,"8,8","8,3","9,3","8,8","19,0",,,,,,
dek3,"4,4","4,2","4,1","4,3","3,2","3,6","3,2","3,3",-,"9,3","9,0","9,4","9,2","20,3",,,,,,
mes,"5,7","5,9","5,8","5,8","2,6","3,1","2,7","2,8",-,"8,5","8,0","8,2","8,2","58,1",,,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,МАРТ,2018,,,,,,,,,,,,
1,"1005,7","1000,0","995,7","1000,5","-1,5","-9,7","8,2","-11,4","-9,5","-1,6","-3,9","-4,7",80,55,94,76,,,,
2,"987,3","982,9","980,0","983,4","6,4","-4,1","10,5","-4,5","-2,0","4,6","0,2","0,8",90,71,93,85,,,,
3,"986,9","987,0","985,6","986,5","2,6","-1,0","3,6","-0,9","-1,0","1,8","0,6","0,5",92,74,88,85,,,,
4,"990,5","994,1","994,3","993,0","2,0","-1,3","3,3","-1,0","-1,0","1,0","-1,0","-0,5",95,81,84,87,,,,
5,"990,1","988,1","984,0","987,4","5,8","-2,0","7,8","-5,6","-0,4","5,0","2,2","2,3",89,69,79,79,,,,
6,"980,1","980,5","978,4","979,7","13,3","2,2","11,1","1,6","3,3","12,6","6,6","7,3",82,63,84,76,,,,
7,"984,3","986,5","988,2","986,3","15,0","3,5","11,5","2,6","4,5","14,8","9,8","9,7",91,56,86,78,,,,
8,"987,5","993,0","999,0","993,2","10,2","4,7","5,5","5,4","8,1","6,1","5,0","6,1",81,93,88,87,,,,
9,"999,8","999,8","1000,1","999,9","16,4","2,4","14,0","-2,0","3,6","16,0","9,5","9,7",82,41,62,62,,,,
10,"998,8","997,4","997,4","997,9","19,0","5,7","13,3","0,7","7,8","18,8","14,0","13,7",62,30,53,48,,,,
11,"996,7","994,3","991,1","994,0","22,2","10,9","11,3","7,1","11,6","21,4","17,1","16,8",58,34,47,46,,,,
12,"989,4","986,4","989,1","988,3","22,5","11,8","10,7","10,3","13,6","21,0","12,0","14,7",67,46,77,63,,,,
13,"989,1","989,1","991,5","989,9","16,8","9,1","7,7","4,9","9,6","15,9","11,9","12,3",83,49,62,65,,,,
14,"994,0","994,3","995,0","994,4","13,4","8,5","4,9","5,5","9,2","12,8","9,6","10,3",83,64,74,74,,,,
15,"995,5","993,5","992,9","994,0","18,0","5,5","12,5","0,8","6,3","16,4","13,0","12,2",92,40,59,64,,,,
16,"990,1","986,1","989,5","988,6","14,0","10,8","3,2","6,6","12,1","12,4","11,4","11,8",54,75,88,72,,,,
17,"987,9","977,8","976,6","980,8","18,6","9,6","9,0","5,5","10,4","15,6","18,0","15,5",93,64,54,70,,,,
18,"986,0","989,4","990,7","988,7","18,0","0,3","17,7","2,3","1,8","1,3","0,3","0,9",90,90,89,90,,,,
19,"988,1","989,2","991,2","989,5","2,6","-1,5","4,1","0,6","1,5","0,8","-1,5","-0,2",77,85,93,85,,,,
20,"992,0","995,3","1000,5","995,9","1,5","-1,5","3,0","-1,0","-1,0","0,9","0,5","0,2",92,95,89,92,,,,
21,"1000,7","1004,3","1008,2","1004,4","0,5","-0,9","1,4","-0,6","-0,9","-0,8","-0,4","-0,6",94,88,89,90,,,,
22,"1006,0","1001,0","994,5","1000,5","0,6","-2,6","3,2","-4,3","-2,6","-0,4","-0,8","-1,2",84,73,96,84,,,,
23,"990,0","988,5","988,8","989,1","1,6","-2,7","4,3","-2,6","-2,7","0,9","0,1","-0,4",92,69,81,81,,,,
24,"989,5","992,0","995,1","992,2","4,3","-1,1","5,4","-3,2","-0,4","4,1","1,9","1,9",84,68,74,75,,,,
25,"996,1","996,1","995,9","996,0","9,1","0,6","8,5","-0,6","1,4","9,0","3,2","4,2",80,56,71,69,,,,
26,"994,7","995,0","996,8","995,5","7,7","1,2","6,5","1,0","3,0","7,2","4,6","4,9",81,72,94,82,,,,
27,"997,5","997,3","998,4","997,7","10,0","3,6","6,4","3,6","3,7","8,9","5,4","5,9",92,58,78,76,,,,
28,"998,1","996,2","995,0","996,4","14,6","3,1","11,5","-2,0","4,6","13,9","10,1","9,7",74,39,51,55,,,,
29,"993,8","994,3","994,8","994,3","16,8","6,2","10,6","0,2","8,8","16,4","13,4","13,0",55,45,53,51,,,,
30,"996,9","995,1","994,5","995,5","23,6","11,0","12,6","5,6","13,9","22,4","18,0","18,1",51,33,40,41,,,,
31,"991,0","985,3","980,2","985,5","24,6","14,4","10,2","11,5","16,4","24,0","20,4","20,3",50,33,35,39,,,,
dek1,"991,1","990,9","990,3","990,8","8,9","0,0","8,9","-1,5","1,3","7,9","4,3","4,5",84,63,81,76,,,,
dek2,"990,9","989,5","990,8","990,4","14,8","6,4","8,4","4,3","7,5","11,9","9,2","9,5",79,64,73,72,,,,
dek3,"995,8","995,0","994,7","995,2","10,3","3,0","7,3","0,8","4,1","9,6","6,9","6,9",76,58,69,68,,,,
mes,"992,7","991,9","992,0","992,2","11,3","3,1","8,2","1,2","4,3","9,8","6,8","6,9",80,62,74,72,,,,
1,"2,4","3,0","4,3","3,2",S,"4,4",ESE,"2,4",NE,"0,8","2,5",-,5,10,10,"8,3","0,0",12,0,
2,"4,8","6,1","5,8","5,6",ESE,"2,4",W,"2,4",WNW,"0,8","1,9",-,10,6,10,"8,7","5,5",15,6,
3,"5,2","5,2","5,6","5,3",W,"2,4",N,"0,8",ESE,"0,8","1,4",-,10,9,7,"8,7","3,1",8,0,
4,"5,4","5,3","4,8","5,2",NNW,"0,8",NNW,"0,8",SE,"0,8","0,8",-,10,10,5,"8,3","0,9",8,1,
5,"5,3","6,0","5,7","5,7",SSE,"2,4",ESE,"4,4",ESE,"6,7","4,5",-,6,5,8,"6,3","0,9",7,0,
6,"6,3","9,1","8,2","7,9",SE,"6,7",SE,"4,4",SE,"4,4","5,1",-,7,9,8,"8,0","0,3",1,.,
7,"7,7","9,4","10,4","9,2",SSE,"0,8",NW,"0,8",SE,"2,4","1,4",-,8,7,3,"6,0","5,7",.,.,
8,"8,8","8,8","7,7","8,4",W,"0,8",W,"4,4",W,"2,4","2,5",-,9,10,10,"9,7","0,0",.,.,
9,"6,5","7,6","7,4","7,2",SSE,"2,4",W,"4,4",SE,"0,8","2,5",-,2,5,0,"2,3","4,5",.,.,
10,"6,6","6,4","8,5","7,2",SSE,"0,8",SSW,"0,8",SE,"0,8","0,8",-,9,4,10,"7,7",.,.,.,
11,"7,9","8,6","9,3","8,6",SSE,"0,8",S,"0,8",SSE,"4,4","2,0",-,6,4,6,"5,3",.,.,.,
12,"10,5","11,4","10,8","10,9",SSE,"2,4",SE,"4,4",NE,"2,4","3,0",-,6,9,6,"7,0","1,8",.,.,
13,"10,0","8,8","8,6","9,1",W,"0,8",NNW,"2,4",W,"0,8","1,4",-,6,4,3,"4,3","0,1",.,.,
14,"9,7","9,4","8,8","9,3",W,"2,4",NW,"2,4",W,"2,4","2,4",-,6,10,9,"8,3","1,0",.,.,
15,"8,8","7,5","8,8","8,4",SE,"0,8",SW,"0,8",SSE,"2,4","1,4",-,6,5,6,"5,7","0,2",.,.,
16,"7,6","10,9","11,8","10,1",SSE,"2,4",SE,"4,4",SSE,"0,8","2,5",-,10,9,3,"7,3",.,.,.,
17,"11,7","11,4","11,1","11,4",SSE,"0,8",E,"4,4",SSW,"4,4","3,2",-,10,6,7,"7,7","7,8",.,.,
