Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
18,"6,3","6,0","5,6","6,0",NNW,"2,4",NNE,"2,4",NNE,"2,4","2,4",-,10,10,10,"10,0","1,3",.,.,
19,"5,2","5,5","5,1","5,3",E,"4,4",ESE,"2,4",SE,"2,4","3,0",-,10,10,10,"10,0","1,2",.,0,
20,"5,2","6,2","5,7","5,7",W,"2,4",W,"2,4",W,"2,4","2,4",-,10,10,10,"10,0","5,6",1,1,|
21,"5,4","5,1","5,3","5,3",NNW,"0,8",NNW,"2,4",W,"2,4","1,9",-,10,10,9,"9,7","4,7",4,4,
22,"4,2","4,3","5,5","4,7",NNE,"2,4",NE,"2,4",NE,"4,4","3,0",-,6,10,10,"8,7","2,0",7,3,
23,"4,6","4,5","5,0","4,7",ESE,"4,4",WNW,"0,8",W,"0,8","2,0",-,10,10,9,"9,7","13,4",19,15,
24,"5,0","5,6","5,2","5,3",S,"0,8",ESE,"2,4",E,"2,4","1,9",-,9,9,10,"9,3","0,0",12,0,
25,"5,4","6,5","5,5","5,8",E,"2,4",ESE,"4,4",SE,"4,4","3,7",-,0,5,5,"3,3",.,1,.,
26,"6,2","7,3","8,0","7,2",E,"2,4",SE,"0,8",W,"2,4","1,9",-,10,10,10,"10,0","2,2",.,0,
27,"7,4","6,7","7,0","7,0",WSW,"0,8",W,"4,4",W,"2,4","2,5",-,10,9,5,"8,0","2,1",.,.,
28,"6,3","6,1","6,3","6,2",SSE,"0,8",NNE,"2,4",SE,"2,4","1,9",-,0,6,0,"2,0","0,2",.,.,
29,"6,2","8,3","8,1","7,5",SE,"0,8",NE,"2,4",ESE,"2,4","1,9",-,6,8,10,"8,0",.,.,.,
30,"8,1","9,1","8,2","8,5",SSE,"0,8",S,"2,4",S,"4,4","2,5",-,5,6,5,"5,3",.,.,.,
31,"9,3","9,7","8,4","9,1",SSE,"4,4",SSE,"6,7",S,"2,4","4,5",-,8,6,6,"6,7","0,3",.,.,
dek1,"5,9","6,7","6,8","6,5","2,4","2,6","2,1","2,3",-,"7,6","7,5","7,1","7,4","20,9",,,,,,
dek2,"8,3","8,6","8,6","8,5","2,0","2,7","2,5","2,3",-,"8,0","7,7","7,0","7,6","19,0",,,,,,
dek3,"6,2","6,7","6,6","6,5","1,9","2,9","2,8","2,4",-,"6,7","8,1","7,2","7,3","24,9",,,,,,
mes,"6,8","7,3","7,3","7,1","2,1","2,7","2,5","2,3",-,"7,4","7,8","7,1","7,4","64,8",,,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,АПРИЛ,2018,,,,,,,,,,,,
1,"983,0","988,5","992,3","987,9","20,4","8,0","12,4","7,5","8,2","12,0","9,6","9,9",85,60,68,71,,,,
2,"999,4","1000,5","1001,9","1000,6","16,4","7,4","9,0","3,6","8,5","15,2","11,0","11,4",73,39,58,57,,,,
3,"1002,4","1000,9","1000,0","1001,1","22,9","9,5","13,4","3,0","12,6","21,3","16,5","16,7",50,24,45,40,,,,
4,"1001,4","998,7","998,3","999,5","23,9","11,8","12,1","4,4","13,6","23,4","18,4","18,5",48,25,39,37,,,,
5,"997,8","994,6","997,3","996,6","22,8","11,9","10,9","5,5","13,4","22,2","12,8","15,3",58,41,93,64,,,,
6,"1000,7","1003,2","1005,0","1003,0","13,3","10,4","2,9","9,8","10,6","11,9","12,2","11,7",87,76,78,80,,,,
7,"1006,6","1006,7","1006,0","1006,4","15,7","8,7","7,0","7,8","8,9","14,1","12,8","12,2",89,71,81,80,,,,
8,"1004,1","1001,7","1000,4","1002,1","23,9","10,8","13,1","6,0","14,2","23,6","17,4","18,2",69,31,54,51,,,,
9,"998,2","995,2","995,6","996,3","25,2","14,6","10,6","11,6","16,4","24,4","19,7","20,1",63,36,44,48,,,,
10,"995,6","994,6","995,1","995,1","24,1","14,4","9,7","10,0","15,8","23,2","19,6","19,6",61,33,47,47,,,,
11,"994,5","993,1","993,4","993,7","24,3","12,3","12,0","6,8","13,5","23,2","17,8","18,1",75,45,63,61,,,,
12,"993,6","992,4","991,4","992,5","27,6","13,0","14,6","7,3","16,9","27,3","21,1","21,6",62,32,47,47,,,,
13,"996,1","998,6","1001,7","998,8","25,4","18,2","7,2","14,7","18,4","25,1","18,8","20,3",63,38,51,51,,,,
14,"1004,9","1004,0","1003,4","1004,1","26,6","12,5","14,1","8,0","14,2","25,8","21,2","20,6",77,40,48,55,,,,
15,"1001,5","1000,0","997,3","999,6","22,8","17,9","4,9","14,6","18,3","22,6","19,6","20,0",54,49,54,52,,,,
16,"996,6","999,2","997,7","997,8","20,2","14,3","5,9","15,4","17,8","15,3","14,3","15,4",58,80,76,71,,,,
17,"1001,4","1004,1","1007,0","1004,2","18,0","12,7","5,3","10,6","13,6","17,6","16,2","15,9",77,67,74,73,,,,
18,"1009,4","1011,4","1012,2","1011,0","18,2","13,7","4,5","13,4","14,2","16,9","15,1","15,3",90,73,86,83,,,,
19,"1011,8","1009,4","1007,8","1009,7","24,3","11,5","12,8","8,5","13,2","23,6","18,0","18,2",77,36,58,57,,,,
20,"1007,0","1006,4","1006,8","1006,7","22,1","12,8","9,3","8,6","15,3","21,3","16,2","17,3",62,34,56,51,,,,
21,"1007,0","1005,0","1002,8","1004,9","24,6","9,0","15,6","5,0","13,1","23,2","16,9","17,5",67,34,50,50,,,,
22,"1001,8","999,9","999,2","1000,3","26,4","10,6","15,8","6,1","16,2","25,3","18,0","19,4",59,35,46,47,,,,
23,"999,9","999,1","998,2","999,1","28,9","13,4","15,5","7,4","17,8","27,6","20,6","21,7",59,36,56,50,,,,
24,"999,7","1000,1","1001,4","1000,4","27,5","15,1","12,4","10,1","16,8","26,9","20,5","21,2",72,46,61,60,,,,
25,"1001,2","998,2","997,3","998,9","29,1","14,6","14,5","10,2","18,8","28,3","21,1","22,3",70,34,58,54,,,,
26,"998,1","995,5","998,2","997,3","28,6","17,0","11,6","17,2","20,4","28,1","18,3","21,3",64,30,48,47,,,,
27,"1003,9","1001,9","1001,2","1002,3","22,6","13,6","9,0","12,9","13,8","21,6","18,6","18,2",68,45,54,56,,,,
28,"1000,6","998,7","998,9","999,4","29,4","14,4","15,0","9,4","17,2","29,2","21,8","22,5",69,41,65,58,,,,
29,"998,0","996,4","995,5","996,6","29,7","19,5","10,2","12,1","21,4","29,4","22,4","23,9",64,35,54,51,,,,
30,"995,6","994,2","995,0","994,9","30,0","18,5","11,5","16,4","19,8","29,8","21,4","23,1",55,27,50,44,,,,
dek1,"998,9","998,5","999,2","998,9","20,9","10,8","10,1","6,9","12,2","19,1","15,0","15,4",68,44,61,58,,,,
dek2,"1001,7","1001,9","1001,9","1001,8","23,0","13,9","9,1","10,8","15,5","21,9","17,8","18,3",70,49,61,60,,,,
dek3,"1000,6","998,9","998,8","999,4","27,7","14,6","13,1","10,7","17,5","26,9","20,0","21,1",65,36,54,52,,,,
mes,"1000,4","999,7","999,9","1000,0","23,8","13,1","10,8","9,5","15,1","22,6","17,6","18,2",68,43,59,56,,,,
1,"9,2","8,4","8,2","8,6",WSW,"2,4",W,"4,4",SE,"0,8","2,5",-,9,10,6,"8,3","19,8",.,.,
2,"8,1","6,8","7,6","7,5",W,"2,4",WNW,"2,4",SE,"2,4","2,4",-,4,2,0,"2,0","3,2",.,.,
3,"7,3","6,1","8,4","7,3",SE,"2,4",W,"2,4",SE,"2,4","2,4",-,3,5,0,"2,7",.,.,.,
4,"7,6","7,1","8,2","7,6",ESE,"0,8",W,"2,4",SSE,"0,8","1,4",-,7,7,6,"6,7",.,.,.,
5,"8,9","10,9","13,8","11,2",SE,"0,8",NE,"0,8",C,"0,0","0,6",-,5,5,10,"6,7",.,.,.,
6,"11,2","10,6","11,1","11,0",NW,"2,4",NNW,"2,4",NNW,"0,8","1,9",-,10,10,7,"9,0","8,8",.,.,
7,"10,1","11,4","11,9","11,1",WNW,"0,8",SE,"0,8",ENE,"2,4","1,4",-,9,10,0,"6,3","0,4",.,.,
8,"11,2","9,1","10,7","10,3",SSE,"2,4",SE,"6,7",ESE,"6,7","5,3",-,4,1,0,"1,7",.,.,.,
9,"11,7","11,2","10,2","11,0",SE,"6,7",ESE,"4,4",ESE,"2,4","4,5",-,0,0,10,"3,3",.,.,.,
10,"10,9","9,5","10,8","10,4",SE,"2,4",N,"2,4",NE,"2,4","2,4",-,1,4,7,"4,0","0,1",.,.,
11,"11,6","12,9","12,8","12,4",W,"0,8",N,"0,8",ENE,"0,8","0,8",-,0,6,4,"3,3",.,.,.,
12,"11,9","11,8","11,8","11,8",SE,"2,4",SE,"4,4",ESE,"4,4","3,7",-,0,0,0,"0,0",.,.,.,
13,"13,4","12,1","11,1","12,2",SE,"2,4",NNW,"2,4",NNE,"2,4","2,4",-,8,3,0,"3,7","0,0",.,.,
14,"12,6","13,5","12,2","12,8",WSW,"0,8",E,"2,4",ENE,"2,4","1,9",-,0,3,8,"3,7",.,.,.,
15,"11,4","13,6","12,3","12,4",SE,"4,4",ESE,"4,4",SE,"4,4","4,4",-,8,10,10,"9,3",.,.,.,
16,"11,8","14,0","12,3","12,7",SE,"2,4",E,"4,4",SSE,"4,4","3,7",-,10,10,9,"9,7","0,0",.,.,
17,"12,0","13,4","13,7","13,0",SSE,"2,4",W,"0,8",NNE,"0,8","1,4",-,9,10,10,"9,7","3,0",.,.,
18,"14,5","14,0","14,7","14,4",NNW,"0,8",NW,"0,8",SW,"0,8","0,8",-,10,9,5,"8,0","4,4",.,.,
19,"11,7","10,5","12,0","11,4",W,"2,4",N,"2,4",W,"0,8","1,9",-,0,0,0,"0,0","0,0",.,.,
20,"10,7","8,6","10,3","9,9",N,"2,4",NNE,"2,4",NW,"0,8","1,9",-,1,1,0,"0,7",.,.,.,
21,"10,1","9,6","9,7","9,8",SSW,"0,8",WNW,"2,4",SE,"0,8","1,4",-,0,0,0,"0,0",.,.,.,
22,"10,9","11,2","9,6","10,6",C,"0,0",W,"2,4",SE,"0,8","1,1",-,0,0,0,"0,0",.,.,.,
23,"11,9","13,4","13,7","13,0",S,"0,8",NNW,"2,4",SE,"0,8","1,4",-,0,0,1,"0,3",.,.,.,
24,"13,8","16,3","14,6","14,9",W,"2,4",NW,"2,4",C,"0,0","1,6",-,5,6,4,"5,0",.,.,.,
25,"15,2","13,0","14,4","14,2",SSE,"0,8",W,"0,8",SE,"0,8","0,8",-,1,2,0,"1,0",.,.,.,
26,"15,3","11,6","10,2","12,4",SW,"0,8",WSW,"2,4",NNE,"4,4","2,5",-,9,0,4,"4,3",.,.,.,
27,"10,8","11,6","11,6","11,3",N,"0,8",NE,"2,4",E,"2,4","1,9",-,4,1,0,"1,7",.,.,.,
28,"13,5","16,8","16,9","15,7",SE,"4,4",SSE,"4,4",ESE,"4,4","4,4",-,0,0,6,"2,0",.,.,.,
29,"16,5","14,2","14,7","15,1",SE,"6,7",SSE,"6,7",SE,"4,4","5,9",-,4,3,0,"2,3",.,.,.,
30,"12,8","11,2","12,8","12,3",SE,"4,4",SW,"0,8",SE,"2,4","2,5",-,5,6,6,"5,7",.,.,.,
dek1,"9,6","9,1","10,1","9,6","2,3","2,9","2,1","2,4",-,"5,2","5,4","4,6","5,1","32,3",,,,,,
dek2,"12,2","12,4","12,3","12,3","2,1","2,5","2,2","2,3",-,"4,6","5,2","4,6","4,8","7,4",,,,,,
dek3,"13,1","12,9","12,8","12,9","2,2","2,7","2,1","2,2",-,"2,8","1,8","2,1","2,2","0,0",,,,,,
mes,"11,6","11,5","11,7","11,6","2,2","2,7","2,1","2,3",-,"4,2","4,1","3,8","4,0","39,7",,,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,МАЈ,2018,,,,,,,,,,,,
1,"997,7","996,4","995,5","996,5","29,0","15,9","13,1","10,9","19,0","28,0","22,8","23,2",72,39,57,56,,,,
2,"995,3","993,2","993,2","993,9","30,2","18,5","11,7","13,6","20,8","29,8","23,0","24,2",64,30,33,42,,,,
3,"991,9","991,4","991,9","991,7","28,9","18,8","10,1","16,4","20,2","27,8","22,3","23,2",60,35,53,49,,,,
4,"994,8","995,7","997,3","995,9","28,6","20,0","8,6","12,5","21,2","27,6","24,6","24,5",58,42,46,49,,,,
5,"998,4","998,0","997,0","997,8","27,2","16,1","11,1","15,7","17,1","26,7","20,3","21,1",90,58,75,74,,,,
6,"998,9","998,7","998,9","998,8","24,5","16,5","8,0","15,4","17,7","24,0","18,6","19,7",87,57,75,73,,,,
7,"999,5","997,1","996,1","997,6","26,0","14,4","11,6","12,4","16,0","24,9","20,2","20,3",66,47,45,53,,,,
8,"994,8","992,3","991,7","992,9","24,5","12,4","12,1","8,9","15,4","23,7","18,4","19,0",60,30,53,48,,,,
9,"991,4","989,8","990,4","990,5","26,9","13,6","13,3","9,3","16,6","26,3","20,6","21,0",64,33,56,51,,,,
10,"992,5","994,3","996,8","994,5","23,4","16,4","7,0","12,9","17,9","22,2","19,4","19,7",70,64,63,66,,,,
11,"1000,0","999,5","999,4","999,6","27,7","15,9","11,8","12,4","19,4","27,2","23,6","23,5",64,39,47,50,,,,
12,"999,6","997,0","996,9","997,8","28,7","15,7","13,0","11,5","18,4","26,8","20,8","21,7",73,38,58,56,,,,
13,"996,2","994,2","994,1","994,8","25,9","16,8","9,1","12,2","18,1","23,3","18,0","19,4",72,47,75,65,,,,
14,"994,5","994,7","995,0","994,7","22,4","16,1","6,3","15,1","17,3","22,2","16,1","17,9",79,50,85,71,,,,
15,"994,3","994,4","995,0","994,6","25,4","15,3","10,1","13,5","15,9","24,2","16,2","18,1",91,39,84,71,,,,
16,"997,0","998,6","998,4","998,0","21,7","11,6","10,1","11,5","11,8","20,9","17,2","16,8",95,47,70,71,,,,
17,"999,1","998,8","999,3","999,1","23,0","14,3","8,7","11,7","15,3","22,3","17,8","18,3",78,42,60,60,,,,
18,"1000,9","999,3","999,3","999,8","25,0","13,1","11,9","9,9","16,3","24,3","18,2","19,3",74,43,65,61,,,,
19,"1000,2","999,5","1000,4","1000,0","23,5","15,4","8,1","14,5","16,4","22,0","18,7","19,0",81,56,73,70,,,,
20,"1002,9","1002,0","1001,8","1002,2","24,6","13,9","10,7","11,5","16,4","23,8","20,6","20,4",79,48,53,60,,,,
21,"1001,5","999,3","999,6","1000,1","25,9","14,2","11,7","11,7","19,6","25,0","19,0","20,7",64,55,69,63,,,,
22,"1000,0","1000,0","1001,0","1000,3","25,6","15,8","9,8","14,1","19,0","25,1","19,9","21,0",73,56,69,66,,,,
23,"1001,3","999,6","1000,2","1000,4","28,6","17,6","11,0","16,1","20,8","28,4","22,6","23,6",68,48,61,59,,,,
24,"1001,2","999,8","1000,0","1000,3","27,6","18,6","9,0","15,5","20,6","25,4","21,8","22,4",70,48,65,61,,,,
25,"1000,2","998,9","1001,7","1000,3","28,6","16,8","11,8","13,8","20,0","27,2","21,8","22,7",73,46,77,65,,,,
26,"1004,7","1004,2","1004,8","1004,6","28,5","17,4","11,1","15,9","20,9","27,1","23,2","23,6",79,47,61,62,,,,
27,"1004,9","1003,5","1003,4","1003,9","29,9","17,6","12,3","14,0","21,1","29,4","23,4","24,3",71,38,60,56,,,,
28,"1004,8","1002,8","1003,5","1003,7","29,8","18,2","11,6","16,5","22,2","29,8","23,0","24,5",65,37,66,56,,,,
29,"1003,9","1002,7","1002,0","1002,9","28,5","18,8","9,7","16,8","22,1","28,1","22,2","23,7",60,30,48,46,,,,
30,"1002,0","1000,6","1000,9","1001,2","29,6","17,6","12,0","13,9","21,7","29,1","23,3","24,4",49,32,47,43,,,,
31,"1000,6","999,2","999,3","999,7","30,4","18,5","11,9","14,7","23,0","30,3","24,3","25,5",53,28,44,42,,,,
dek1,"995,5","994,7","994,9","995,0","26,9","16,3","10,7","12,8","18,2","26,1","21,0","21,6",69,44,56,56,,,,
dek2,"998,5","997,8","998,0","998,1","24,8","14,8","10,0","12,4","16,5","23,7","18,7","19,4",79,45,67,64,,,,
dek3,"1002,3","1001,0","1001,5","1001,6","28,5","17,4","11,1","14,8","21,0","27,7","22,2","23,3",66,42,61,56,,,,
mes,"998,9","997,9","998,2","998,3","26,8","16,2","10,6","13,4","18,7","25,9","20,7","21,5",71,44,61,59,,,,
1,"15,8","15,0","15,9","15,6",NW,"0,8",NNE,"2,4",ESE,"2,4","1,9",-,0,4,0,"1,3","0,0",.,.,
2,"15,7","12,6","9,3","12,5",SSE,"2,4",ESE,"4,4",SE,"4,4","3,7",-,1,0,4,"1,7",.,.,.,
3,"14,3","13,0","14,2","13,8",ESE,"4,4",SE,"4,4",ESE,"2,4","3,7",-,0,7,10,"5,7",.,.,.,
4,"14,7","15,4","14,3","14,8",ESE,"4,4",E,"2,4",SE,"2,4","3,0",-,6,7,4,"5,7",.,.,.,
5,"17,7","20,2","18,0","18,6",WSW,"0,8",W,"2,4",SW,"0,8","1,4",-,9,8,4,"7,0","3,9",.,.,
6,"17,6","17,0","16,1","16,9",W,"2,4",W,"2,4",NNW,"2,4","2,4",-,9,5,10,"8,0","2,4",.,.,
7,"12,0","14,9","10,7","12,5",W,"2,4",W,"2,4",NNW,"2,4","2,4",-,1,2,1,"1,3","0,5",.,.,
8,"10,5","8,9","11,2","10,2",W,"2,4",NNE,"2,4",SSE,"0,8","1,9",-,1,2,0,"1,0",.,.,.,
9,"12,1","11,2","13,7","12,3",WSW,"2,4",NW,"0,8",WSW,"0,8","1,4",-,2,4,3,"3,0",.,.,.,
10,"14,4","17,1","14,1","15,2",SSE,"4,4",ESE,"4,4",ESE,"0,8","3,2",-,10,4,0,"4,7","0,0",.,.,
11,"14,5","14,1","13,8","14,1",SSE,"0,8",W,"2,4",NE,"0,8","1,4",-,3,6,4,"4,3",.,.,.,
12,"15,5","13,4","14,3","14,4",W,"2,4",WNW,"2,4",SSE,"2,4","2,4",-,0,7,4,"3,7",.,.,.,
13,"15,0","13,3","15,4","14,6",WSW,"0,8",NNE,"2,4",WSW,"0,8","1,4",-,8,5,3,"5,3",.,.,.,
14,"15,5","13,5","15,6","14,9",W,"0,8",ENE,"2,4",ESE,"2,4","1,9",-,10,5,8,"7,7","0,0",.,.,
15,"16,5","11,6","15,4","14,5",SSE,"2,4",S,"2,4",NNE,"2,4","2,4",-,10,5,10,"8,3","13,0",.,.,
16,"13,2","11,7","13,7","12,9",W,"2,4",NW,"2,4",ESE,"0,8","1,9",-,10,5,4,"6,3","30,1",.,.,
17,"13,6","11,3","12,3","12,4",SW,"0,8",W,"2,4",SSE,"0,8","1,4",-,5,4,0,"3,0","1,4",.,.,
18,"13,8","13,0","13,5","13,4",W,"0,8",SW,"2,4",WSW,"0,8","1,4",-,6,4,9,"6,3",.,.,.,
19,"15,1","14,9","15,8","15,3",W,"2,4",NNW,"0,8",S,"0,8","1,4",-,9,7,0,"5,3","0,0",.,.,
20,"14,7","14,1","13,0","13,9",NW,"0,8",NNE,"2,4",NE,"2,4","1,9",-,0,5,3,"2,7","4,6",.,.,
21,"14,7","17,4","15,1","15,7",ESE,"2,4",E,"4,4",ESE,"2,4","3,0",-,2,4,9,"5,0",.,.,.,
22,"16,0","17,9","16,0","16,6",SE,"4,4",SE,"2,4",SE,"4,4","3,7",-,1,3,10,"4,7","0,0",.,.,
23,"16,8","18,6","16,8","17,4",SSE,"4,4",E,"4,4",E,"2,4","3,7",-,5,4,9,"6,0","0,0",.,.,
24,"17,0","15,7","16,9","16,5",WNW,"0,8",NNE,"2,4",SE,"0,8","1,4",-,0,7,7,"4,7","0,0",.,.,
25,"17,0","16,7","20,1","17,9",WNW,"0,8",S,"2,4",NNE,"2,4","1,9",-,3,8,5,"5,3","0,3",.,.,
26,"19,5","16,9","17,3","17,9",NNE,"2,4",ENE,"2,4",NE,"0,8","1,9",-,6,3,7,"5,3",.,.,.,
27,"17,8","15,8","17,2","16,9",C,"0,0",NNE,"2,4",SE,"2,4","1,6",-,0,3,0,"1,0",.,.,.,
28,"17,4","15,7","18,5","17,2",SE,"2,4",ESE,"0,8",ESE,"2,4","1,9",-,0,3,0,"1,0",.,.,.,
29,"16,0","11,4","12,9","13,4",SE,"2,4",ESE,"4,4",ESE,"2,4","3,0",-,1,3,0,"1,3",.,.,.,
30,"12,7","13,0","13,5","13,1",ESE,"2,4",E,"4,4",ESE,"2,4","3,0",-,1,4,0,"1,7",.,.,.,
31,"15,0","12,2","13,4","13,5",SE,"2,4",SE,"2,4",ESE,"0,8","1,9",-,3,4,0,"2,3",.,.,.,
dek1,"14,5","14,5","13,8","14,2","2,7","2,8","2,0","2,4",-,"3,9","4,3","3,6","3,9","6,8",,,,,,
dek2,"14,7","13,1","14,3","14,0","1,5","2,2","1,5","1,7",-,"6,1","5,3","4,5","5,3","49,1",,,,,,
dek3,"16,4","15,6","16,2","16,0","2,2","3,0","2,1","2,4",-,"2,0","4,2","4,3","3,5","0,3",,,,,,
mes,"15,2","14,4","14,8","14,8","2,1","2,7","1,9","2,2",-,"3,9","4,6","4,1","4,2","56,2",,,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,ЈУНИ,2018,,,,,,,,,,,,
1,"1000,6","999,6","1000,0","1000,1","32,0","18,0","14,0","13,2","23,2","31,6","25,0","26,2",55,33,35,41,,,,
2,"1001,2","1000,2","999,4","1000,3","28,7","20,8","7,9","16,4","21,3","27,8","23,8","24,2",74,46,63,61,,,,
3,"1000,4","998,5","998,3","999,1","28,3","20,3","8,0","17,0","22,6","27,0","22,3","23,6",74,65,67,69,,,,
4,"997,0","994,0","993,2","994,7","29,6","19,1","10,5","15,8","20,8","27,7","23,6","23,9",76,50,59,62,,,,
5,"993,4","991,7","993,9","993,0","30,5","18,9","11,6","14,7","22,3","29,6","25,3","25,6",67,35,43,48,,,,
6,"997,2","996,7","999,3","997,7","31,4","18,9","12,5","16,1","21,2","30,9","23,6","24,8",72,43,62,59,,,,
7,"1001,2","1000,1","1000,4","1000,6","31,3","20,4","10,9","19,6","21,8","30,0","25,8","25,9",68,44,61,58,,,,
8,"999,6","996,6","994,6","996,9","34,1","22,4","11,7","20,9","24,2","33,4","27,0","27,9",64,34,58,52,,,,
9,"992,6","994,0","994,0","993,5","27,6","21,1","6,5","22,4","26,1","22,3","21,1","22,7",58,71,86,72,,,,
10,"995,5","994,7","995,2","995,1","27,9","20,1","7,8","17,2","20,9","27,5","23,8","24,0",87,59,73,73,,,,
11,"996,2","994,7","994,2","995,0","31,0","20,0","11,0","17,0","23,6","30,1","26,4","26,6",75,48,60,61,,,,
12,"992,7","991,0","989,5","991,1","34,7","21,9","12,8","18,0","26,8","34,4","29,2","29,9",62,32,50,48,,,,
13,"990,1","988,5","989,0","989,2","29,2","18,5","10,7","17,8","21,0","27,2","20,2","22,2",66,52,74,64,,,,
14,"991,4","991,7","992,9","992,0","23,7","16,9","6,8","16,0","17,8","22,5","18,7","19,4",88,76,85,83,,,,
15,"993,3","993,5","994,0","993,6","20,4","16,9","3,5","16,6","17,8","19,6","18,0","18,4",80,82,94,85,,,,
16,"994,4","994,8","995,9","995,0","23,3","16,9","6,4","15,3","18,4","22,4","19,9","20,2",97,77,85,86,,,,
17,"996,7","995,7","996,7","996,4","28,3","17,1","11,2","16,4","17,8","28,0","21,0","22,0",93,49,79,74,,,,
18,"997,9","997,5","1000,1","998,5","27,5","17,6","9,9","17,0","19,9","26,1","21,0","22,0",82,63,80,75,,,,
19,"1001,7","1002,0","1004,0","1002,6","26,0","19,1","6,9","13,5","20,2","24,3","22,2","22,2",90,67,91,83,,,,
20,"1005,7","1004,4","1003,3","1004,5","30,4","19,0","11,4","16,9","21,4","28,6","25,0","25,0",83,53,66,67,,,,
21,"1002,1","998,3","997,0","999,1","30,6","20,6","10,0","18,7","24,2","29,1","24,2","25,4",72,48,59,60,,,,
22,"996,0","997,9","1004,0","999,3","24,3","11,8","12,5","17,5","21,8","19,6","11,9","16,3",77,73,92,81,,,,
23,"1005,4","1003,8","1004,1","1004,4","21,0","11,3","9,7","10,4","13,4","19,6","16,9","16,7",74,45,58,59,,,,
24,"1003,7","1002,6","1002,2","1002,8","22,3","11,7","10,6","9,0","14,8","20,6","17,8","17,8",70,46,59,58,,,,
25,"1002,3","1001,4","1002,3","1002,0","24,3","11,9","12,4","8,8","15,8","23,0","20,1","19,8",73,41,55,56,,,,
26,"1002,2","1001,0","1000,1","1001,1","23,9","15,0","8,9","14,1","15,9","21,9","19,5","19,2",83,63,66,71,,,,
27,"997,9","994,6","994,2","995,6","19,9","15,5","4,4","15,2","15,8","18,8","15,8","16,6",92,82,91,88,,,,
28,"992,3","992,1","991,6","992,0","23,3","15,7","7,6","15,7","16,6","21,2","18,3","18,6",92,75,91,86,,,,
29,"989,0","988,1","990,0","989,0","22,7","17,0","5,7","17,3","17,7","21,0","19,2","19,3",95,95,95,95,,,,
30,"991,2","991,2","995,5","992,6","27,8","17,3","10,5","17,4","19,4","27,0","19,7","21,5",93,51,44,63,,,,
dek1,"997,9","996,6","996,8","997,1","30,1","20,0","10,1","17,3","22,4","28,8","24,1","24,9",70,48,61,60,,,,
dek2,"996,0","995,4","996,0","995,8","27,5","18,4","9,1","16,5","20,5","26,3","22,2","22,8",82,60,76,73,,,,
dek3,"998,2","997,1","998,1","997,8","24,0","14,8","9,2","14,4","17,5","22,2","18,3","19,1",82,62,71,72,,,,
mes,"997,4","996,4","997,0","996,9","27,2","17,7","9,5","16,1","20,2","25,8","21,5","22,3",78,57,69,68,,,,
1,"15,6","15,6","11,1","14,1",C,"0,0",SSE,"2,4",SSE,"0,8","1,1",-,1,4,3,"2,7",.,.,.,
2,"18,8","17,3","18,6","18,2",SW,"0,8",N,"0,8",SSE,"0,8","0,8",-,8,6,0,"4,7","0,0",.,.,
3,"20,2","23,1","18,0","20,4",WSW,"0,8",S,"0,8",N,"2,4","1,4",-,4,5,5,"4,7","0,1",.,.,
4,"18,8","18,7","17,3","18,3",WSW,"2,4",W,"2,4",SE,"0,8","1,9",-,4,4,0,"2,7","4,0",.,.,
