Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1,"1013,4","1010,6","1005,8","1009,9","4,2","0,4","3,8","0,0","1,0","2,2","0,4","1,0",90,90,88,89,,,
2,"999,7","999,0","1000,9","999,9","5,4","0,3","5,1","-2,6","1,2","4,2","1,9","2,3",81,71,74,75,,,
3,"1004,6","1006,0","1006,8","1005,8","1,9","-2,5","4,4","-0,6","-0,8","-1,9","-2,5","-1,9",96,92,84,91,,,
4,"1009,5","1011,7","1011,5","1010,9","-1,9","-5,6","3,7","-8,5","-4,8","-2,3","-3,2","-3,4",87,80,87,85,,,
5,"1007,8","1002,1","998,1","1002,7","0,3","-5,7","6,0","-8,4","-5,6","-1,0","-0,6","-2,0",90,65,90,82,,,
6,"999,5","1001,2","1004,2","1001,6","1,3","-1,5","2,8","-1,0","0,4","0,6","-1,5","-0,5",90,90,95,92,,,
7,"1010,0","1012,5","1013,5","1012,0","-1,5","-7,0","5,5","-7,4","-6,1","-3,4","-7,0","-5,9",78,73,89,80,,,
8,"1007,5","999,4","995,2","1000,7","-0,2","-7,8","7,6","-12,7","-5,8","-0,7","-0,4","-1,8",81,62,92,78,,,
9,"990,1","988,8","989,3","989,4","4,6","-0,4","5,0","-2,5","1,2","4,4","0,9","1,9",90,70,93,84,,,
10,"992,0","993,1","996,2","993,8","0,9","-2,9","3,8","-0,3","-0,1","-2,9","-1,9","-1,7",95,97,96,96,,,
11,"1001,3","1003,6","1005,3","1003,4","-0,1","-2,4","2,3","-2,8","-2,3","-0,4","-1,1","-1,2",94,87,90,90,,,
12,"1003,1","1001,2","1000,3","1001,5","0,6","-4,6","5,2","-10,1","-3,0","-0,4","0,6","-0,6",83,78,88,83,,,
13,"995,7","992,8","988,4","992,3","5,7","0,5","5,2","-1,0","1,4","4,5","1,4","2,2",93,73,83,83,,,
14,"982,2","984,4","990,5","985,7","8,1","1,4","6,7","-3,0","4,0","7,4","3,7","4,7",85,71,48,68,,,
15,"998,6","999,9","1001,5","1000,0","3,9","-1,3","5,2","-1,4","-1,2","2,3","2,1","1,3",68,61,70,66,,,
16,"1000,1","1000,8","1001,2","1000,7","9,6","2,0","7,6","1,8","3,8","8,7","5,1","5,7",49,42,60,50,,,
17,"1000,5","999,6","998,5","999,5","14,2","3,5","10,7","-0,6","4,6","12,8","7,2","8,0",60,42,57,53,,,
