Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
18,"996,2","997,8","1004,1","999,4","10,6","2,9","7,7","0,8","5,3","5,3","3,0","4,2",64,71,91,75,,,
19,"1004,3","1003,1","1001,2","1002,9","4,4","0,2","4,2","-1,5","0,5","4,0","2,7","2,5",95,70,76,80,,,
20,"998,7","999,6","1002,6","1000,3","2,7","0,8","1,9","1,4","0,9","1,4","1,6","1,4",91,97,90,93,,,
21,"1005,0","1004,8","1003,8","1004,5","2,6","0,6","2,0","1,1","0,8","2,2","0,9","1,2",90,77,81,83,,,
22,"998,8","994,3","990,0","994,4","1,1","-0,6","1,7","1,4","0,6","0,8","-0,6","0,1",95,91,96,94,,,
23,"986,2","984,4","983,8","984,8","2,7","-0,6","3,3",-,"0,3","1,4","0,1","0,5",87,90,96,91,,,
24,"982,8","985,5","989,0","985,8","0,2","-1,1","1,3",-,"-0,6","-0,1","-0,1","-0,2",96,93,95,95,,,
25,"992,0","991,8","992,7","992,2","-0,1","-2,6","2,5",-,"-1,6","-2,0","-2,6","-2,2",95,94,96,95,,,
26,"994,2","995,1","995,2","994,8","-1,3","-3,8","2,5",-,"-3,6","-2,0","-3,3","-3,1",95,79,87,87,,,
27,"992,2","987,8","986,0","988,7","5,3","-3,9","9,2",-,"-2,2","5,0","3,8","2,6",75,64,70,70,,,
28,"982,0","979,6","984,6","982,1","7,4","2,0","5,4",-,"4,0","6,2","2,0","3,6",68,61,93,74,,,
29,"990,0","991,8","990,8","990,9","2,8","1,1","1,7",-,"1,2","2,1","1,9","1,8",95,92,85,91,,,
30,"987,6","986,9","987,3","987,3","3,4","0,6","2,8",-,"0,6","3,1","1,9","1,9",97,82,92,90,,,
31,"986,9","987,8","992,2","989,0","2,3","-0,4","2,7",-,"-0,2","1,2","1,4","1,0",96,93,95,95,,,
dek1,"1003,4","1002,4","1002,2","1002,7","1,5","-3,3","4,8","-4,4","-1,9","-0,1","-1,4","-1,2",88,79,89,85,,,
dek2,"998,1","998,3","999,4","998,6","6,0","0,3","5,7","-1,6","1,4","4,6","2,6","2,8",78,69,75,74,,,
dek3,"990,7","990,0","990,5","990,4","2,4","-0,8","3,2",-,"-0,1","1,6","0,5","0,7",90,83,90,88,,,
mes,"997,2","996,7","997,1","997,0","3,3","-1,2","4,5",-,"-0,2","2,0","0,6","0,8",85,77,85,83,,,
1,"5,9","6,5","5,5","6,0",WNW,"0,8",WSW,"2,4",SSE,"2,4","1,9",-,10,10,0,"6,7","0,6",.,.
2,"5,4","5,8","5,2","5,5",W,"2,4",WNW,"2,4",NW,"2,4","2,4",-,9,9,5,"7,7",.,.,.
3,"5,5","4,9","4,3","4,9",NNW,"2,4",NNW,"2,4",W,"2,4","2,4",-,9,10,5,"8,0","0,5",.,0
4,"3,7","4,1","4,2","4,0",NW,"2,4",NW,"2,4",WSW,"0,8","1,9",-,5,10,9,"8,0","4,3",11,11
5,"3,6","3,7","5,3","4,2",SSW,"0,8",S,"2,4",WSW,"2,4","1,9",-,0,10,10,"6,7","0,0",9,0
6,"5,7","5,7","5,2","5,5",NW,"2,4",NNW,"2,4",NNE,"2,4","2,4",-,10,10,10,"10,0","2,0",8,2
7,"3,0","3,4","3,2","3,2",NNW,"2,4",NW,"2,4",S,"0,8","1,9",-,0,7,0,"2,3","7,2",15,12
8,"3,2","3,6","5,5","4,1",S,"2,4",SE,"2,4",SSE,"2,4","2,4",-,5,10,10,"8,3",.,13,.
9,"6,0","5,8","6,1","6,0",SSE,"0,8",SSE,"0,8",NNE,"2,4","1,4",-,9,10,10,"9,7","0,1",8,0
10,"5,7","4,8","5,1","5,2",NE,"0,8",N,"2,4",NW,"2,4","1,9",-,10,10,10,"10,0","5,8",10,6
11,"4,8","5,2","5,1","5,0",W,"2,4",W,"2,4",W,"2,4","2,4",-,10,10,10,"10,0","6,5",15,6
12,"4,1","4,6","5,6","4,8",S,"0,8",WSW,"2,4",W,"0,8","1,4",-,9,9,10,"9,3","0,0",14,0
13,"6,3","6,1","5,6","6,0",SSE,"0,8",S,"2,4",SE,"0,8","1,4",-,6,9,0,"5,0","0,9",13,0
14,"6,9","7,3","3,8","6,0",WSW,"2,4",W,"2,4",NNW,"2,4","2,4",-,10,9,0,"6,3","0,5",8,.
15,"3,8","4,4","4,9","4,4",W,"2,4",W,"4,4",WSW,"4,4","3,7",-,0,9,7,"5,3","0,7",3,0
16,"3,9","4,8","5,2","4,6",WSW,"2,4",W,"2,4",SE,"0,8","1,9",-,9,5,0,"4,7","0,0",2,.
17,"5,1","6,2","5,8","5,7",SSE,"2,4",S,"2,4",S,"2,4","2,4",-,0,0,0,"0,0",.,.,.
18,"5,7","6,3","6,9","6,3",SE,"0,8",NNW,"2,4",W,"2,4","1,9",-,5,9,10,"8,0",.,.,.
19,"6,0","5,7","5,7","5,8",SW,"0,8",NE,"2,4",E,"0,8","1,4",-,6,10,9,"8,3","1,0",.,.
20,"6,0","6,5","6,2","6,2",SE,"0,8",W,"2,4",W,"2,4","1,9",-,10,10,10,"10,0","1,6",.,0
21,"5,8","5,5","5,3","5,5",NNE,"2,4",NNE,"2,4",NE,"2,4","2,4",-,10,9,9,"9,3","1,8",.,0
22,"6,0","5,9","5,6","5,8",E,"2,4",E,"2,4",ESE,"2,4","2,4",-,10,10,10,"10,0","1,3",2,2
23,"5,4","6,1","5,9","5,8",S,"0,8",WNW,"0,8",NNE,"0,8","0,8",-,10,10,10,"10,0","5,8",5,5
24,"5,6","5,6","5,7","5,6",W,"2,4",WSW,"2,4",WSW,"2,4","2,4",-,10,10,10,"10,0","12,8",13,13
25,"5,1","5,0","4,8","5,0",NNW,"0,8",NNW,"0,8",W,"2,4","1,4",-,10,10,10,"10,0","2,4",15,3
26,"4,4","4,2","4,2","4,3",WNW,"2,4",W,"2,4",SSE,"0,8","1,9",-,10,10,6,"8,7","21,9",32,22
27,"3,9","5,6","5,7","5,1",SE,"2,4",ESE,"2,4",SE,"4,4","3,0",-,3,4,8,"5,0","2,3",30,2
28,"5,5","5,7","6,6","5,9",SE,"6,7",SE,"4,4",W,"4,4","5,1",-,5,10,10,"8,3",.,25,.
29,"6,3","6,5","6,0","6,3",W,"0,8",SW,"0,8",ENE,"0,8","0,8",-,10,10,10,"10,0","0,6",16,.
30,"6,2","6,2","6,4","6,3",WSW,"0,8",S,"0,8",SE,"2,4","1,4",-,10,10,9,"9,7","1,2",10,0
31,"5,8","6,2","6,4","6,1",ESE,"0,8",NE,"0,8",WSW,"2,4","1,4",-,10,10,10,"10,0","0,0",7,0
dek1,"4,8","4,8","5,0","4,9","1,8","2,2","2,1","2,0",-,"6,7","9,6","6,9","7,7","20,5",,,,,
dek2,"5,3","5,7","5,5","5,5","1,6","2,6","2,0","2,0",-,"6,5","8,0","5,6","6,7","11,2",,,,,
dek3,"5,5","5,7","5,7","5,6","2,1","1,9","2,3","2,0",-,"8,9","9,4","9,3","9,2","50,1",,,,,
mes,"5,2","5,4","5,4","5,3","1,8","2,2","2,1","2,0",-,"7,4","9,0","7,3","7,9","81,8",,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,ФЕБРУАР,2019,,,,,,,,,,,
1,"992,4","991,8","990,8","991,7","11,6","0,6","11,0",-,"1,6","10,5","10,2","8,1",85,53,57,65,,,
2,"990,3","990,5","990,6","990,5","13,0","10,0","3,0",-,"10,8","12,2","13,0","12,3",60,58,56,58,,,
3,"989,5","988,5","996,6","991,5","16,5","9,2","7,3",-,"11,9","14,5","9,6","11,4",61,51,87,66,,,
4,"1008,2","1011,7","1012,3","1010,7","9,6","3,8","5,8",-,"3,8","5,2","4,8","4,7",86,74,75,78,,,
5,"1010,9","1010,6","1010,4","1010,6","4,8","2,7","2,1","2,3","2,7","3,5","4,0","3,6",90,95,97,94,,,
6,"1009,4","1009,2","1010,2","1009,6","4,6","2,7","1,9","2,5","3,0","4,3","3,6","3,6",91,84,77,84,,,
7,"1009,2","1007,1","1005,2","1007,2","6,6","-0,9","7,5","-4,6","-0,3","6,1","2,7","2,8",87,65,83,78,,,
8,"1004,4","1006,7","1007,8","1006,3","6,0","0,4","5,6","-3,2","0,4","4,8","1,7","2,2",91,71,88,83,,,
9,"1005,5","1004,1","1005,0","1004,9","9,0","0,9","8,1","0,0","1,4","8,3","3,8","4,3",90,49,76,72,,,
10,"1005,0","1001,7","996,3","1001,0","11,5","1,0","10,5","-4,0","1,0","11,2","9,6","7,9",88,50,55,64,,,
11,"989,6","989,8","994,1","991,2","12,0","3,8","8,2","6,9","11,1","4,8","4,8","6,4",53,88,94,78,,,
12,"1000,5","1004,4","1010,7","1005,2","5,3","2,2","3,1","2,2","3,1","5,0","2,2","3,1",84,55,76,72,,,
13,"1016,3","1017,9","1019,4","1017,9","5,7","-0,8","6,5","-3,4","-0,7","5,3","2,4","2,4",83,54,68,68,,,
14,"1017,8","1016,7","1015,1","1016,5","9,3","1,0","8,3","-1,7","2,2","7,2","6,1","5,4",77,71,81,76,,,
15,"1014,0","1015,4","1016,8","1015,4","10,0","2,7","7,3","-1,6","2,8","9,0","4,0","5,0",86,57,80,74,,,
16,"1017,0","1016,3","1015,3","1016,2","11,1","0,0","11,1","-5,1","0,0","9,4","4,6","4,7",93,53,78,75,,,
17,"1013,9","1012,2","1011,2","1012,4","13,0","0,8","12,2","-4,4","0,8","11,6","6,0","6,1",88,51,79,73,,,
18,"1010,0","1008,1","1006,8","1008,3","14,3","1,6","12,7","-4,0","2,2","13,5","7,8","7,8",92,41,75,69,,,
19,"1004,7","1003,6","1003,5","1003,9","16,8","2,8","14,0","-4,0","2,8","15,3","8,5","8,8",87,39,60,62,,,
20,"1005,5","1006,8","1009,0","1007,1","14,9","3,8","11,1","-1,2","4,1","14,0","9,1","9,1",78,43,54,58,,,
21,"1011,6","1010,8","1009,2","1010,5","13,4","2,4","11,0","-3,2","2,4","12,6","7,9","7,7",82,37,58,59,,,
22,"1004,7","1002,8","1010,6","1006,0","8,0","-0,4","8,4","0,7","5,8","7,0","-0,4","3,0",94,96,55,82,,,
23,"1019,3","1021,2","1022,7","1021,1","2,0","-3,6","5,6","-4,1","-3,4","1,3","-1,2","-1,1",70,39,66,58,,,
24,"1023,1","1021,6","1020,7","1021,8","2,5","-5,2","7,7","-6,4","-5,1","1,4","-0,2","-1,0",86,54,56,65,,,
25,"1019,6","1019,3","1017,1","1018,7","6,5","-1,0","7,5","-2,7","-0,7","5,4","1,7","2,0",57,41,50,49,,,
26,"1012,0","1006,4","1005,1","1007,8","13,0","0,3","12,7","-2,9","0,9","11,4","8,6","7,4",55,45,54,51,,,
27,"1007,7","1007,2","1007,0","1007,3","12,4","2,6","9,8","-1,1","3,6","11,2","7,4","7,4",67,42,55,55,,,
28,"1003,2","997,3","993,7","998,1","19,1","4,0","15,1","-2,1","4,2","17,7","14,8","12,9",75,20,29,41,,,
dek1,"1002,5","1002,2","1002,5","1002,4","9,3","3,0","6,3",-,"3,6","8,1","6,3","6,1",83,65,75,74,,,
dek2,"1008,9","1009,1","1010,2","1009,4","11,2","1,8","9,5","-1,6","2,8","9,5","5,6","5,9",82,55,75,71,,,
dek3,"1012,7","1010,8","1010,8","1011,4","9,6","-0,1","9,7","-2,7","1,0","8,5","4,8","4,8",73,47,53,58,,,
mes,"1007,7","1007,1","1007,6","1007,5","10,1","1,7","8,4",-,"2,6","8,7","5,6","5,6",80,56,69,68,,,
1,"5,8","6,8","7,1","6,6",SE,"4,4",SSE,"6,7",SSE,"6,7","5,9",-,6,6,6,"6,0","0,0",4,.
2,"7,8","8,2","8,4","8,1",SSE,"6,7",SE,"4,4",SSE,"4,4","5,1",-,9,10,6,"8,3",.,.,.
3,"8,4","8,4","10,4","9,1",SSE,"4,4",ESE,"4,4",SSE,"2,4","3,7",-,9,5,4,"6,0",.,.,.
4,"6,9","6,6","6,5","6,7",NNW,"2,4",NNW,"2,4",NW,"2,4","2,4",-,8,10,9,"9,0","2,7",.,.
5,"6,7","7,5","7,9","7,4",W,"2,4",WNW,"0,8",NW,"2,4","1,9",-,10,10,10,"10,0","0,2",.,.
6,"6,9","7,0","6,1","6,7",NW,"0,8",W,"2,4",NNW,"2,4","1,9",-,10,10,8,"9,3","0,7",.,.
7,"5,2","6,1","6,1","5,8",C,"0,0",E,"2,4",ESE,"2,4","1,6",-,9,3,0,"4,0",.,.,.
8,"5,7","6,1","6,1","6,0",SE,"0,8",W,"2,4",W,"2,4","1,9",-,0,8,10,"6,0",.,.,.
9,"6,1","5,4","6,1","5,9",SSE,"2,4",W,"0,8",SE,"0,8","1,4",-,9,4,0,"4,3",.,.,.
10,"5,8","6,7","6,6","6,4",C,"0,0",SE,"2,4",SSE,"2,4","1,6",-,0,9,9,"6,0",.,.,.
11,"7,1","7,6","8,1","7,6",SSE,"4,4",NNE,"4,4",NW,"2,4","3,7",-,10,10,10,"10,0",.,.,.
12,"6,4","4,8","5,4","5,5",NW,"2,4",NNW,"2,4",NNW,"2,4","2,4",-,10,10,8,"9,3","19,9",.,.
13,"4,8","4,8","4,9","4,8",WNW,"0,8",NNE,"2,4",W,"0,8","1,4",-,3,5,0,"2,7","0,2",.,0
14,"5,5","7,2","7,6","6,8",WSW,"2,4",WNW,"2,4",W,"0,8","1,9",-,10,8,9,"9,0","0,5",.,0
15,"6,4","6,5","6,5","6,5",N,"0,8",NE,"2,4",WSW,"0,8","1,4",-,5,3,0,"2,7",.,.,.
16,"5,7","6,3","6,6","6,2",SSE,"0,8",N,"2,4",SSE,"0,8","1,4",-,0,3,0,"1,0",.,.,.
17,"5,7","6,9","7,4","6,7",SE,"0,8",NW,"2,4",SE,"0,8","1,4",-,0,0,0,"0,0",.,.,.
18,"6,6","6,4","7,9","7,0",ESE,"0,8",NNE,"2,4",SE,"0,8","1,4",-,0,0,0,"0,0",.,.,.
19,"6,5","6,7","6,7","6,6",SSE,"0,8",W,"2,4",SE,"0,8","1,4",-,0,4,0,"1,3",.,.,.
20,"6,4","6,9","6,2","6,5",WSW,"0,8",W,"2,4",NW,"0,8","1,4",-,0,6,7,"4,3",.,.,.
21,"6,0","5,5","6,2","5,9",SSW,"0,8",NNW,"2,4",WSW,"0,8","1,4",-,0,4,0,"1,3",.,.,.
22,"8,7","9,6","3,3","7,2",WSW,"2,4",WNW,"0,8",N,"4,4","2,5",-,10,10,3,"7,7","2,7",.,.
23,"3,3","2,6","3,7","3,2",NNE,"4,4",NNE,"4,4",NNE,"0,8","3,2",-,7,1,0,"2,7","6,8",.,0
24,"3,6","3,7","3,4","3,6",WSW,"0,8",WNW,"2,4",NNE,"0,8","1,4",-,1,9,8,"6,0",.,.,.
25,"3,3","3,7","3,4","3,5",ENE,"2,4",S,"0,8",WSW,"0,8","1,4",-,9,1,0,"3,3",.,.,.
26,"3,6","6,0","6,1","5,2",SW,"0,8",NW,"4,4",NW,"0,8","2,0",-,4,7,3,"4,7",.,.,.
27,"5,3","5,6","5,6","5,5",WNW,"2,4",NNE,"4,4",WNW,"0,8","2,5",-,8,5,0,"4,3",.,.,.
28,"6,2","4,2","4,9","5,1",S,"2,4",W,"4,4",WSW,"4,4","3,7",-,0,0,0,"0,0",.,.,.
dek1,"6,5","6,9","7,1","6,9","2,4","2,9","2,9","2,6",-,"7,0","7,5","6,2","6,9","3,6",,,,,
dek2,"6,1","6,4","6,7","6,4","1,5","2,6","1,1","1,7",-,"3,8","4,9","3,4","4,0","20,6",,,,,
dek3,"5,0","5,1","4,6","4,9","2,0","3,0","1,7","2,1",-,"4,9","4,6","1,8","3,8","9,5",,,,,
mes,"5,9","6,2","6,3","6,1","2,0","2,8","1,9","2,1",-,"5,3","5,8","3,9","5,0","33,7",,,,,
Д,Напон,водене,паре,Правац,и,брзина,ветра,Инсо-,Облачност,Пада-,Снег,Појаве,,,,,,,
а,(mb),(m/s),лација,у,десетинама,вине,(сm),,,,,,,,,,,,
н,07,14,21,ср.,07,14,21,ср.,(h),07,14,21,ср.,(mm),У,Н,,,
Д,Ваздушни,притисак,у,mb,Температура,ваздуха,у,°,C,Релативна,влажност,,,,,,,,
а,Екстреми,мин,Терминске,Термини,,,,,,,,,,,,,,,
н,07,14,21,ср.,мах,мин,амп,5сm,07,14,21,ср.,07,14,21,ср.,,,
БЕОГРАД,ширина,"44°48',",дужина,"20°28',",висина,132m,МАРТ,2019,,,,,,,,,,,
1,"996,2","994,4","993,8","994,8","17,2","9,0","8,2","4,9","9,2","16,8","10,4","11,7",54,37,57,49,,,
2,"997,4","999,4","1002,1","999,6","12,3","7,0","5,3","3,0","7,2","11,4","8,3","8,8",79,53,67,66,,,
3,"1003,8","1003,7","1001,1","1002,9","13,3","6,0","7,3","4,5","6,0","10,2","8,0","8,1",82,62,69,71,,,
4,"997,7","993,3","990,0","993,7","21,2","7,4","13,8","0,3","7,9","20,9","16,2","15,3",56,25,33,38,,,
5,"996,4","997,1","998,9","997,5","16,5","7,4","9,1","5,1","7,6","13,9","10,3","10,5",90,60,66,72,,,
6,"1002,5","1004,1","1002,6","1003,1","16,1","7,3","8,8","2,3","7,7","15,4","11,7","11,6",78,38,47,54,,,
7,"1000,3","997,6","997,5","998,5","22,8","9,8","13,0","6,6","10,6","21,9","18,8","17,5",51,30,35,39,,,
8,"999,8","1000,7","1003,4","1001,3","22,6","14,2","8,4","8,5","14,4","21,9","14,6","16,4",39,26,60,42,,,
9,"1006,4","1004,1","1001,5","1004,0","18,0","9,7","8,3","6,6","9,9","17,4","13,5","13,6",88,54,63,68,,,
10,"1003,5","997,3","995,0","998,6","21,0","11,0","10,0","6,1","11,4","20,2","16,0","15,9",52,31,51,45,,,
11,"999,3","1000,6","1000,2","1000,0","16,0","4,4","11,6","9,0","11,4","6,8","4,6","6,9",65,79,81,75,,,
12,"1003,0","1003,8","1005,0","1003,9","10,5","3,3","7,2","2,6","3,5","9,6","6,6","6,6",73,45,51,56,,,
13,"1002,5","999,4","997,1","999,7","12,3","0,6","11,7","-4,2","1,7","11,8","7,7","7,2",75,32,48,52,,,
14,"995,9","995,5","994,0","995,1","12,6","4,5","8,1","3,1","5,3","11,5","7,1","7,8",73,43,54,57,,,
15,"991,9","994,2","996,3","994,1","14,7","5,3","9,4","0,0","7,2","12,6","9,8","9,9",49,41,63,51,,,
16,"994,2","998,7","999,7","997,5","14,8","9,6","5,2","6,0","11,1","13,8","11,8","12,1",53,56,63,57,,,
17,"999,3","997,0","993,3","996,5","24,5","6,9","17,6","3,2","9,0","23,1","18,7","17,4",93,31,34,53,,,
18,"997,4","996,0","1002,5","998,6","21,0","9,7","11,3","4,3","12,0","19,7","9,7","12,8",68,44,53,55,,,
19,"1005,4","1005,5","1009,5","1006,8","14,0","7,0","7,0","6,5","7,2","13,0","8,6","9,4",66,49,70,62,,,
20,"1013,2","1014,5","1016,7","1014,8","10,9","5,6","5,3","5,4","5,8","9,7","7,8","7,8",92,58,69,73,,,
21,"1018,8","1017,0","1016,9","1017,6","15,4","3,8","11,6","-0,4","4,4","14,8","10,5","10,1",79,29,35,48,,,
22,"1016,9","1014,1","1012,6","1014,5","17,4","3,0","14,4","-1,6","5,0","16,8","13,4","12,2",63,35,38,45,,,
23,"1011,4","1009,2","1008,6","1009,7","20,0","5,8","14,2","1,0","6,4","18,0","14,6","13,4",68,39,46,51,,,
24,"1008,3","1005,1","1001,4","1004,9","21,6","5,3","16,3","-0,9","6,7","20,0","13,4","13,4",70,18,37,42,,,
25,"997,8","995,7","996,8","996,8","19,9","6,9","13,0","0,9","8,8","18,4","12,5","13,1",47,34,48,43,,,
26,"1003,3","1004,8","1006,6","1004,9","12,5","6,5","6,0","5,9","6,6","11,7","10,2","9,7",63,40,43,49,,,
27,"1009,7","1009,7","1012,1","1010,5","13,4","3,3","10,1","0,3","4,0","11,6","7,6","7,7",65,38,24,42,,,
28,"1013,8","1012,5","1012,8","1013,0","14,8","1,4","13,4","-3,8","2,4","13,9","10,5","9,3",53,32,30,38,,,
29,"1014,6","1011,9","1011,2","1012,6","16,6","2,9","13,7","-2,5","3,4","15,8","11,5","10,6",61,30,43,45,,,
30,"1011,1","1008,2","1006,1","1008,5","19,5","5,0","14,5","0,2","5,8","18,6","12,7","12,5",67,30,49,49,,,
31,"1004,2","1001,5","1000,2","1002,0","21,4","6,4","15,0","0,3","9,2","21,0","13,7","14,4",63,29,44,45,,,
dek1,"1000,4","999,2","998,6","999,4","18,1","8,9","9,2","4,8","9,2","17,0","12,8","12,9",67,42,55,54,,,
dek2,"1000,2","1000,5","1001,4","1000,7","15,1","5,7","9,4","3,6","7,4","13,2","9,2","9,8",71,48,59,59,,,
dek3,"1010,0","1008,2","1007,8","1008,6","17,5","4,6","12,9","-0,1","5,7","16,4","11,9","11,5",64,32,40,45,,,
mes,"1003,7","1002,8","1002,8","1003,1","16,9","6,3","10,6","2,7","7,4","15,6","11,3","11,4",67,40,51,53,,,
1,"6,3","7,0","7,2","6,8",W,"0,8",NW,"2,4",WSW,"0,8","1,4",-,1,6,4,"3,7",.,.,.
2,"8,0","7,1","7,3","7,5",W,"2,4",WNW,"2,4",WNW,"0,8","1,9",-,9,7,9,"8,3","0,0",.,.
3,"7,7","7,8","7,4","7,6",W,"2,4",SSE,"0,8",SE,"2,4","1,9",-,8,6,0,"4,7","0,0",.,.
4,"5,9","6,3","6,2","6,1",SSE,"0,8",WSW,"2,4",SSW,"2,4","1,9",-,3,5,3,"3,7",.,.,.
5,"9,4","9,5","8,2","9,0",WSW,"2,4",W,"2,4",SE,"0,8","1,9",-,10,8,8,"8,7","0,6",.,.
6,"8,2","6,6","6,5","7,1",W,"2,4",N,"0,8",SE,"4,4","2,5",-,9,1,3,"4,3",.,.,.
7,"6,6","7,9","7,6","7,4",SE,"2,4",SSE,"4,4",SSE,"4,4","3,7",-,6,9,6,"7,0",.,.,.
8,"6,5","6,8","10,0","7,8",SE,"0,8",WNW,"0,8",NE,"2,4","1,4",-,10,9,6,"8,3",.,.,.
9,"10,7","10,7","9,8","10,4",SSW,"0,8",SW,"2,4",S,"0,8","1,4",-,5,6,8,"6,3","5,4",.,.
10,"7,0","7,3","9,4","7,9",SW,"0,8",SSW,"4,4",WSW,"2,4","2,5",-,3,9,7,"6,3",.,.,.
11,"8,8","7,8","6,9","7,8",NNE,"2,4",WSW,"4,4",WNW,"2,4","3,0",-,10,10,10,"10,0","2,6",.,.
12,"5,7","5,4","4,9","5,3",WNW,"2,4",N,"2,4",NE,"0,8","1,9",-,10,5,0,"5,0","2,4",.,.
13,"5,2","4,5","5,1","4,9",SSE,"0,8",SSE,"2,4",ESE,"4,4","2,5",-,1,9,9,"6,3",.,.,.
14,"6,5","5,9","5,5","6,0",SSE,"0,8",N,"2,4",SE,"0,8","1,4",-,10,8,0,"6,0",.,.,.
15,"4,9","6,1","7,6","6,2",SSE,"2,4",NW,"2,4",SSE,"0,8","1,9",-,9,9,7,"8,3",.,.,.
16,"7,0","8,9","8,8","8,2",S,"0,8",NNE,"2,4",SE,"0,8","1,4",-,10,10,5,"8,3","0,0",.,.
17,"10,6","8,7","7,4","8,9",S,"0,8",SSW,"2,4",S,"2,4","1,9",-,0,0,0,"0,0","0,0",.,.
18,"9,5","10,2","6,4","8,7",SSE,"2,4",NE,"2,4",NW,"2,4","2,4",-,5,3,8,"5,3",.,.,.
19,"6,8","7,4","7,9","7,4",W,"2,4",NW,"2,4",NW,"2,4","2,4",-,9,5,7,"7,0",.,.,.
20,"8,4","7,0","7,4","7,6",W,"2,4",WNW,"2,4",S,"0,8","1,9",-,10,10,5,"8,3","0,4",.,.
21,"6,6","4,9","4,5","5,3",NW,"0,8",NNE,"2,4",NNE,"2,4","1,9",-,1,1,6,"2,7","0,1",.,.
22,"5,5","6,7","5,9","6,0",W,"0,8",N,"2,4",WNW,"0,8","1,4",-,0,5,0,"1,7",.,.,.
23,"6,5","8,1","7,6","7,4",W,"2,4",N,"2,4",N,"2,4","2,4",-,0,4,0,"1,3",.,.,.
24,"6,8","4,3","5,8","5,6",S,"0,8",WNW,"2,4",SE,"0,8","1,4",-,0,0,0,"0,0",.,.,.
25,"5,3","7,3","6,9","6,5",WNW,"0,8",NNE,"4,4",NNE,"2,4","2,5",-,0,4,10,"4,7",.,.,.
26,"6,2","5,6","5,4","5,7",NW,"0,8",W,"2,4",WNW,"0,8","1,4",-,10,9,8,"9,0","0,0",.,.
27,"5,3","5,2","2,5","4,3",W,"2,4",NNW,"2,4",NNE,"0,8","1,9",-,0,7,0,"2,3",.,.,.
28,"3,8","5,1","3,8","4,2",W,"0,8",ENE,"2,4",NNE,"2,4","1,9",-,0,0,0,"0,0",.,.,.
